290;Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?;Nie mniejszą niż 800 metrów.;Nie mniejszą niż 500 metrów.;Nie mniejszą niż 200 metrów.;B;;SPECJALISTYCZNY;3;C;C4
293;Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?;Prędkość pojazdów.;Moc silnika.;Szerokość pojazdów.;A;;SPECJALISTYCZNY;3;C;C4
1848;Który z dokumentów jesteś obowiązany mieć przy sobie, kierując samochodem osobowym?;Wyciąg ze świadectwa homologacji pojazdu.;Kartę pojazdu.;Prawo jazdy.;C;;SPECJALISTYCZNY;1;B;B8
1864;Jakiej kategorii prawo jazdy jest wymagane, gdy chcesz kierować czterokołowcem innym niż lekki?;B1.;A.;AM.;A;;SPECJALISTYCZNY;1;B,B1;B8
1866;Który z obowiązków dotyczy właściciela samochodu osobowego?;Poddawanie pojazdu okresowym badaniom technicznym.;Zawarcie umowy ubezpieczenia NW.;Zawarcie umowy ubezpieczenia Autocasco.;A;;SPECJALISTYCZNY;1;B;B8
1876;Kiedy powinieneś sprawdzać ciśnienie w ogumieniu samochodu osobowego?;Bezpośrednio przed rozpoczęciem podróży.;Po zakończeniu jazdy.;Co najmniej dobę przed zaplanowaną podróżą.;A;;SPECJALISTYCZNY;2;B;B7
1877;W jaki sposób wolno Ci przewozić ładunek w przyczepie ciągniętej przez samochód osobowy?;Ładunek może zasłaniać niektóre światła przyczepy.;Ładunek nie może naruszać stateczności pojazdu.;Ładunek nie musi być zabezpieczony przed zmianą położenia.;B;;SPECJALISTYCZNY;2;B;B7
1878;W jaki sposób przewieziesz ładunek w przyczepie ciągniętej przez samochód osobowy?;Zabezpieczę go przed przemieszczaniem.;Umieszczę ładunek luźno na przyczepie.;Nie zabezpieczę ładunku przed przemieszczaniem, jeżeli będę jechał wolno.;A;;SPECJALISTYCZNY;2;B;B7
1879;Jak przewieziesz ładunek sypki w przyczepie ciągniętej przez samochód osobowy?;Niezasłonięty - umieszczony poniżej wysokości burt.;Nie przekraczajac prędkości 30 km/h.;Zasłonięty w szczelnej skrzyni ładunkowej.;C;;SPECJALISTYCZNY;2;B;B7
1880;Jak powinieneś zabezpieczyć urządzenie, którym zamocowałeś ładunek w przyczepie ciągniętej przez samochód osobowy?;Tak, żeby mocowanie nie rozluźniło się.;Może swobodnie zwisać z przyczepy.;Nie musi być zabezpieczone przed spadnięciem podczas jazdy.;A;;SPECJALISTYCZNY;2;B;B7
1881;W jaki sposób powinien być umieszczony ładunek na samochodzie osobowym?;Może nieznacznie zasłaniać tablice rejestracyjne.;Może zasłaniać tylne światło przeciwmgłowe.;Nie może ograniczać widoczności drogi.;C;;SPECJALISTYCZNY;2;B;B7
1882;Jak umieścisz bagaż w samochodzie osobowym?;Najcięższe bagaże włożę najgłębiej i najniżej, w centralnej części bagażnika.;W dowolny sposób.;Najcięższe bagaże włożę w górnej części bagażnika, nad lżejszymi.;A;;SPECJALISTYCZNY;2;B;B7
1883;W jaki sposób umieścisz ładunek na przyczepie samochodu osobowego?;Tak, aby nie zasłaniał świateł przyczepy.;Umieszczę go po jednej stronie przyczepy.;Umieszczę go zawsze w tylnej części przyczepy.;A;;SPECJALISTYCZNY;2;B;B7
1888;Czego nie możesz robić kierując samochodem osobowym?;Ciągnąć za pojazdem osoby na sankach.;Korzystać z radia CB.;Przewozić dziecka w foteliku ochronnym na przednim siedzeniu.;A;;SPECJALISTYCZNY;2;B;B7
1905;Który z wymienionych sposobów przewożenia gaśnicy w samochodzie osobowym jest właściwy?;Gaśnica umieszczona jest na tylnej półce.;Gaśnica umieszczona jest luźno między siedzeniami.;Gaśnica zamocowana pod fotelem pasażera.;C;;SPECJALISTYCZNY;2;B;B7
2025;Jaki jest cel stosowania układu ASR w samochodzie osobowym?;Przeciwdziałanie poślizgowi podczas hamowania silnikiem.;Zapobieganie blokowaniu kół hamowanych.;Przeciwdziałanie poślizgowi kół podczas ruszania.;C;;SPECJALISTYCZNY;2;B;B7
2026;Jaki jest cel stosowania układu ESP w samochodzie osobowym?;Przeciwdziałanie poślizgowi kół podczas hamowania silnikiem.;Zapobieganie blokowaniu kół hamowanych.;Stabilizowanie ruchu pojazdu podczas jazdy po łuku drogi.;C;;SPECJALISTYCZNY;2;B;B7
2143;Jak często należy obracać poszkodowanego nieurazowego na drugi bok po ułożeniu go w pozycji bezpiecznej?;Co 60 minut.;Co 30 minut.;Co 15 minut.;B;R_101org.jpg;SPECJALISTYCZNY;2;PT;PD10
2145;Stwierdzasz brak oddechu u dziecka. Nie masz nikogo do pomocy. Które z wymienionych działań należy podjąć?;Wezwać pomoc, a następnie prowadzić sztuczne oddechy i uciśnięcia klatki piersiowej.;Przez 1 minutę prowadzić sztuczne oddechy i uciśnięcia klatki piersiowej, po czym wezwać pomoc.;Przez 15 minut prowadzić sztuczne oddechy i uciśnięcia klatki piersiowej, po czym wezwać pomoc.;B;R_110org.jpg;SPECJALISTYCZNY;2;PT;PD10
2161;Jak zabezpieczysz krwawienie z rany przy braku jałowego opatrunku?;Wstrzymam się z opatrywaniem.;Użyję do opatrunku odzieży poszkodowanego.;Poczekam, aż ktoś użyczy swojej apteczki.;B;;SPECJALISTYCZNY;3;B,B1;B10
2163;Co należy zrobić w przypadku krwotoku z nosa?;Ucisnąć skrzydełka nosa i pochylić głowę do przodu.;Nie tamować i poczekać, aż krew przestanie płynąć.;Ucisnąć skrzydełka nosa i odchylić głowę do tyłu.;A;R_132.jpg;SPECJALISTYCZNY;2;PT;PD10
2164;Kiedy należy założyć opatrunek uciskowy?;W przypadku zmiażdżenia kończyny.;W przypadku wycieku krwistej wydzieliny z ucha.;W przypadku krwotoku.;C;;SPECJALISTYCZNY;3;B,B1;B10
2165;Jak długo należy prowadzić uciskanie klatki piersiowej i sztuczne oddychanie u osoby z nagłym zatrzymaniem krążenia?;Do momentu przyjazdu zespołu ratownictwa medycznego.;Przez 15 minut.;Dopóki ciało poszkodowanego zachowuje właściwą ciepłotę.;A;R_144org.jpg;SPECJALISTYCZNY;3;B,B1;B10
2177;Czym należy poprzedzić uciskanie klatki piersiowej u niemowlęcia, które zostało ułożone na stole lub podłodze?;Podłożeniem pod jego plecy pieluchy czy ręczniczka, tak by czoło, broda i klatka piersiowa dziecka znajdowały się w jednej linii.;Uniesieniem nóg dziecka do góry, tak by krew napłynęła do serca.;Podłożeniem poduszki pod głowę dziecka.;A;R_105org.jpg;SPECJALISTYCZNY;2;PT;PD10
2180;Który z objawów wskazuje na złamanie żeber u poszkodowanego zachowującego przytomność?;Poszkodowany skarży się na ból, który nasila się przy głębokim oddychaniu i poruszaniu się.;Poszkodowany kuleje na lewą nogę.;Poszkodowany skarży się na ból brzucha.;A;R_132.jpg;SPECJALISTYCZNY;2;PT;PD10
2183;Jak długo należy ręcznie stabilizować głowę poszkodowanego z podejrzeniem urazu kręgosłupa szyjnego?;Aż zacznie nią poruszać.;Do przejęcia stabilizacji przez członka zespołu ratownictwa medycznego.;Do czasu stwierdzenia ruchomości jego nóg.;B;R_030org.jpg;SPECJALISTYCZNY;3;B,B1;B10
2188;Poszkodowany ma złamanie zamknięte kończyny dolnej i skarży się na silny ból. Czeka na przyjazd zespołu ratownictwa medycznego. Jakie działania powinien podjąć świadek zdarzenia?;Zachęcać poszkodowanego, aby się nie ruszał.;Podać środki przeciwbólowe.;Postarać się ułożyć kończynę powyżej serca.;A;R_132.jpg;SPECJALISTYCZNY;2;PT;PD10
2190;Co należy zrobić w przypadku podejrzenia urazu kręgosłupa szyjnego oraz braku oddechu  u poszkodowanego w wypadku drogowym?;Przygiąć głowę poszkodowanego do klatki piersiowej.;Włożyć poszkodowanemu pod głowę coś miękkiego, np. zwiniętą kurtkę.;Rozpocząć resuscytację krążeniowo - oddechową;C;R_018org.jpg;SPECJALISTYCZNY;2;PT;PD10
2199;W jakim przypadku u poszkodowanego nie zastosujesz automatycznego defibrylatora zewnętrznego (AED)?;Gdy nastąpiło zatrzymanie krążenia.;Gdy nastąpiło zatrzymanie krążenia, a AED zaleca wyładowanie.;Gdy poszkodowany ma mokre ubranie lub leży w kałuży.;C;R_182org.jpg;SPECJALISTYCZNY;2;PT;PD10
2535;Kierujesz pojazdem w czasie deszczu. Którą z wymienionych czynności powinieneś przede wszystkim wykonać, by jechać bezpieczniej?;Wyłączyć system kontroli trakcji.;Jechać w koleinach.;Zmniejszyć prędkość.;C;;SPECJALISTYCZNY;3;B,B1;B4
2536;Kierujesz samochodem osobowym podczas ulewnego deszczu. Którą z wymienionych czynności należy wykonać po wjechaniu w koleinę wypełnioną wodą?;Płynnie zmniejszyć prędkość.;Zdecydowanie przyhamować.;Zdecydowanie przyspieszyć.;A;;SPECJALISTYCZNY;3;B;B4
2538;Która z wymienionych czynności może zwiększyć bezpieczeństwo podczas jazdy po zaśnieżonej drodze?;Hamowanie wyłącznie przy użyciu hamulca ręcznego.;Stosowanie opon zimowych.;Zdecydowane przyspieszanie.;B;;SPECJALISTYCZNY;3;B;B4
2635;W jaką liczbę gaśnic musi być wyposażony skład dwuwagonowy?;Jedną gaśnicę w każdym wagonie.;Jedną gaśnicę na cały skład.;Co najmniej dwie gaśnice w każdym wagonie.;A;;SPECJALISTYCZNY;2;PT;PD2
2649;Który z czynników atmosferycznych zmniejsza możliwość wystąpienia poślizgu?;Gołoledź.;Mżawka.;Opad gradu.;A;;SPECJALISTYCZNY;3;PT;PD4
2684;Czy kierując tramwajem jesteś obowiązany mieć przy sobie i okazywać na żądanie uprawnionego organu dokument stwierdzający dopuszczenie tramwaju do ruchu?;Tak.;Nie, ponieważ taki dokument znajduje się tylko w zajezdni.;Nie, ponieważ taki dokument nie dotyczy tramwaju.;A;;SPECJALISTYCZNY;1;PT;PD8
2686;Kto jest uprawniony do kontroli dokumentów kierującego tramwajem?;Policjant lub strażnik miejski.;Funkcjonariusz dowolnej służby, ale tylko w obecności przedstawiciela nadzoru ruchu.;Tylko policjant.;A;;SPECJALISTYCZNY;1;PT;PD8
2797;Czy hamulce szynowe zadziałają po awarii przetwornicy?;Tak.;Tak, o ile działa zasilanie z drugiego wagonu.;Nie.;A;;SPECJALISTYCZNY;1;PT;PD9
3340;Którą z wymienionych czynności powinieneś wykonać, aby płynnie ruszyć z miejsca?;Stopniowo zwalniać pedał sprzęgła.;Gwałtownie zwolnić pedał sprzęgła.;Najpierw znacznie zwiększyć obroty silnika, następnie szybko zwolnić pedał sprzęgła.;A;;SPECJALISTYCZNY;2;B,B1;B6
