1848;Który z dokumentów jesteś obowiązany mieć przy sobie, kierując samochodem osobowym?;Wyciąg ze świadectwa homologacji pojazdu.;Kartę pojazdu.;Prawo jazdy.;C;;SPECJALISTYCZNY;1;B;B8
1866;Który z obowiązków dotyczy właściciela samochodu osobowego?;Poddawanie pojazdu okresowym badaniom technicznym.;Zawarcie umowy ubezpieczenia NW.;Zawarcie umowy ubezpieczenia Autocasco.;A;;SPECJALISTYCZNY;1;B;B8
1876;Kiedy powinieneś sprawdzać ciśnienie w ogumieniu samochodu osobowego?;Bezpośrednio przed rozpoczęciem podróży.;Po zakończeniu jazdy.;Co najmniej dobę przed zaplanowaną podróżą.;A;;SPECJALISTYCZNY;2;B;B7
1877;W jaki sposób wolno Ci przewozić ładunek w przyczepie ciągniętej przez samochód osobowy?;Ładunek może zasłaniać niektóre światła przyczepy.;Ładunek nie może naruszać stateczności pojazdu.;Ładunek nie musi być zabezpieczony przed zmianą położenia.;B;;SPECJALISTYCZNY;2;B;B7
1878;W jaki sposób przewieziesz ładunek w przyczepie ciągniętej przez samochód osobowy?;Zabezpieczę go przed przemieszczaniem.;Umieszczę ładunek luźno na przyczepie.;Nie zabezpieczę ładunku przed przemieszczaniem, jeżeli będę jechał wolno.;A;;SPECJALISTYCZNY;2;B;B7
1879;Jak przewieziesz ładunek sypki w przyczepie ciągniętej przez samochód osobowy?;Niezasłonięty - umieszczony poniżej wysokości burt.;Nie przekraczajac prędkości 30 km/h.;Zasłonięty w szczelnej skrzyni ładunkowej.;C;;SPECJALISTYCZNY;2;B;B7
1880;Jak powinieneś zabezpieczyć urządzenie, którym zamocowałeś ładunek w przyczepie ciągniętej przez samochód osobowy?;Tak, żeby mocowanie nie rozluźniło się.;Może swobodnie zwisać z przyczepy.;Nie musi być zabezpieczone przed spadnięciem podczas jazdy.;A;;SPECJALISTYCZNY;2;B;B7
1881;W jaki sposób powinien być umieszczony ładunek na samochodzie osobowym?;Może nieznacznie zasłaniać tablice rejestracyjne.;Może zasłaniać tylne światło przeciwmgłowe.;Nie może ograniczać widoczności drogi.;C;;SPECJALISTYCZNY;2;B;B7
1882;Jak umieścisz bagaż w samochodzie osobowym?;Najcięższe bagaże włożę najgłębiej i najniżej, w centralnej części bagażnika.;W dowolny sposób.;Najcięższe bagaże włożę w górnej części bagażnika, nad lżejszymi.;A;;SPECJALISTYCZNY;2;B;B7
1883;W jaki sposób umieścisz ładunek na przyczepie samochodu osobowego?;Tak, aby nie zasłaniał świateł przyczepy.;Umieszczę go po jednej stronie przyczepy.;Umieszczę go zawsze w tylnej części przyczepy.;A;;SPECJALISTYCZNY;2;B;B7
